mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.15970869064331056,0.0036958347539321353,0.004309463500976563,0.00016267604879528977,18,{'max_depth': 18},0.7988999899969378,0.8097250688242661,0.8072452631772983,0.7982622261724435,0.8193225581554893,0.811918911595007,0.8106438464087071,0.7971074860340412,0.8093995115302348,0.7976451304172019,0.8060169992311629,0.007212724332772986,12
0.1666027784347534,0.006119097476504219,0.00456235408782959,0.00023546693604157637,19,{'max_depth': 19},0.8225975152439379,0.8321923801072725,0.8320754599435576,0.8202709134282453,0.8332961906745349,0.8317080232815663,0.8351139580017061,0.8229151160372246,0.8331183771400952,0.8208408833388603,0.8284128817197001,0.005631346055274774,11
0.1675722599029541,0.004265092016109014,0.004541850090026856,0.0001398097789746529,20,{'max_depth': 20},0.8404528874775101,0.848777981489581,0.8474907410806884,0.8337034294134131,0.8506931441457409,0.8462337921163972,0.8524188609783888,0.845821734328188,0.8500343863950803,0.8449414465768437,0.8460568404001831,0.005221052689963589,10
0.17010171413421632,0.008749561638508018,0.004590463638305664,0.0001540127109503605,21,{'max_depth': 21},0.8599541997258757,0.8673736702498288,0.8647840616046927,0.8522502305825534,0.865947072753391,0.8684835354044591,0.8643844545363751,0.8639560767905518,0.864704932873832,0.8631500378199269,0.8634988272341486,0.004349396808714467,9
0.1740926742553711,0.009977883735332305,0.004865789413452148,0.0006615151962353108,22,{'max_depth': 22},0.8769722464900893,0.8822378947859272,0.8795856504112616,0.8675679180254228,0.8775801668011545,0.8821050611052841,0.8780994554170222,0.878713643517636,0.8805524174378929,0.8807409107049833,0.8784155364696675,0.004002578378766358,8
0.16982598304748536,0.002348635186616239,0.005175542831420898,0.0014384770182334305,23,{'max_depth': 23},0.8888538869407634,0.8996741409949148,0.8912412149041112,0.8774854466783533,0.8942968806040068,0.8960868057359324,0.8927827558234589,0.8887584172229811,0.8886858023473232,0.8956017522414659,0.8913467103493311,0.0057691016559334365,7
0.32457857131958007,0.16035304319455185,0.008835506439208985,0.005875960630008323,24,{'max_depth': 24},0.8981602756597734,0.9058273455278418,0.8976482626807443,0.8905014225530735,0.9029276414160902,0.9024782218964256,0.899945014450963,0.8975068047264306,0.901160316041193,0.9050473215026421,0.9001202626455178,0.004250941710047503,6
0.17267584800720215,0.002547111523620765,0.0047749757766723635,9.90862021416673e-05,25,{'max_depth': 25},0.909064251022935,0.9101769665621862,0.9037371412946871,0.8982101748173218,0.9084626942118041,0.9112613525243688,0.9063691612239424,0.906596228654495,0.9060371865302312,0.9139496798574736,0.9073864836699446,0.004133430472119252,5
0.1740809917449951,0.0023032231788101608,0.004870057106018066,0.00017159736453070085,26,{'max_depth': 26},0.9136808381661214,0.9196621629702533,0.9113112552685808,0.9043786870539305,0.9145280711042326,0.9137942250854422,0.9138315647881754,0.9122893508879463,0.9109126357701604,0.9177870031505826,0.9132175794245425,0.003911371232800765,4
0.18039343357086182,0.010016871973103783,0.005086278915405274,0.0004771662315699355,27,{'max_depth': 27},0.9212430582178881,0.9232565744648086,0.9163154655506239,0.9090522055248246,0.9189528998251454,0.9178088262344017,0.9193135989570953,0.9169487210694764,0.9175060232271273,0.9228120724684252,0.9183209445539816,0.0038365997903257046,3
0.19365394115447998,0.02630692556722146,0.005235743522644043,0.0007631231031068707,28,{'max_depth': 28},0.9240095635262987,0.925643100008544,0.9195616575891068,0.9100918470474176,0.9208142283295913,0.9231947047108519,0.9236045284564209,0.9229079542616428,0.9199974566660809,0.9260314803125541,0.921585652090851,0.0043570469519972855,2
0.17421772480010986,0.0024637790704466647,0.0051182985305786135,0.0007375650132603185,29,{'max_depth': 29},0.9249505461492693,0.9273940830409177,0.9199934238493608,0.9123862474549738,0.9244722240928217,0.9242864438855936,0.9249812183110204,0.9251106021459553,0.9224079044721436,0.9241737745535619,0.9230156467955618,0.00398411801967307,1
