mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.18180592060089112,0.01285790611769859,0.004786896705627442,0.0002908917530811951,20,{'max_depth': 20},0.8451452105846198,0.8501616080555762,0.8472148069905328,0.8361764738556874,0.8502112318643801,0.8465396444011044,0.8521932620825969,0.8472363475566701,0.8498613979673836,0.8468331724113706,0.847157315576992,0.0041970059085859,10
0.17862908840179442,0.01512875313819669,0.005050539970397949,0.000994894924430185,21,{'max_depth': 21},0.8611882889084524,0.867781457417997,0.8652177036153375,0.8560762767151936,0.8663883827077703,0.8689812495540976,0.8639383505908286,0.8635699695094678,0.8647032481212185,0.8631332991345753,0.8640978226274939,0.0034399028162505466,9
0.18702058792114257,0.027171288150875814,0.00508725643157959,0.0007093243492802396,22,{'max_depth': 22},0.8757216508727538,0.8827723545291283,0.8787577845007882,0.8662919700850454,0.8782691740778361,0.883442349397187,0.876580544729909,0.8767982011047429,0.8797692503969454,0.8811680313089921,0.8779571311003329,0.004603450138171922,8
0.16850342750549316,0.007819967257458732,0.004710483551025391,0.00024043905059456815,23,{'max_depth': 23},0.8899125063189652,0.8966927130222002,0.8897156806417837,0.878809493342788,0.8930406262143219,0.8949124314057192,0.8906522067670012,0.8884383371955007,0.8888266487552943,0.8948193163305893,0.8905819959994166,0.004770380106046883,7
0.17965319156646728,0.015339959506860163,0.005114626884460449,0.0007927289836253026,24,{'max_depth': 24},0.899957909600273,0.9076410316900934,0.8970223170163556,0.8902399827267549,0.9004673673093248,0.9037238408898677,0.8988085196296915,0.8949233840605745,0.8995759682370833,0.9049042717721639,0.8997264592932183,0.00476730728429125,6
0.171628999710083,0.005852599417406524,0.00479123592376709,0.00016418135746053378,25,{'max_depth': 25},0.9084550140591463,0.912946294309129,0.9063893665441224,0.8976511980865,0.9072554385927423,0.9097142134970166,0.9051173657601888,0.9070593332724644,0.9057045949513371,0.91258419331224,0.9072877012384888,0.004101975833922736,5
0.18520779609680177,0.014704088546324988,0.005150556564331055,0.0004383373655761518,26,{'max_depth': 26},0.9177725996311366,0.9178127669345706,0.9106201287409015,0.9039437051604668,0.9132376788318567,0.9138203088367574,0.9154104439730816,0.9118955303541132,0.9131045139305599,0.9192589046209007,0.9136876581014344,0.0041932834505600996,4
0.18567404747009278,0.014709659196351081,0.005490636825561524,0.0008370667851285337,27,{'max_depth': 27},0.9235732130476185,0.9208073147630513,0.9152795877212279,0.9089477933968422,0.918124621553277,0.9183105676545534,0.9194641657102619,0.91753979623205,0.9179545626866862,0.9227714221682844,0.9182773044933853,0.003908348947796225,3
0.18363513946533203,0.00924810041195766,0.005182981491088867,0.0004689121672076675,28,{'max_depth': 28},0.9252597014240503,0.9259900429129746,0.9189532031460438,0.9115935800435064,0.9225620664581808,0.9225376158874539,0.9224761166828909,0.9206962975214518,0.9196400272704754,0.9254090881010304,0.9215117739448058,0.0040182287907815336,2
0.1995384931564331,0.02155790540413532,0.005651307106018066,0.0008328970418062891,29,{'max_depth': 29},0.9249445036823788,0.9275273671943018,0.9221630787807584,0.913289089108204,0.9246559511377979,0.9226291778670649,0.9235517309148015,0.9239819426750171,0.9225804487691336,0.9259946779041099,0.9231317968033569,0.00363866860834831,1
